district.x,school.x,school_id,report_card_type_p_e_m_h_d,street,city,state,zip,gradespan,enrollment,hdphone,url,headname,teacher_count,year,district.y,school.y,type,e_pct_me,e_pct_in_need_of_support,m_pct_me,m_pct_in_need_of_support,sc_pct_me,p17_sci1nm,sc_pct_in_need_of_support,total_actively_enrolled_students,gender_female,gender_male,black_or_african_american,white,schoolid,gender_missing,pupils_in_poverty,all_other_races
"Aiken County
Public School
District","Langley-Bath-Clearwater
Middle School",0201008,M,29 Lions Trail,Warrenville,SC,29851,6-8,636,803-593-7260,https://www.acpsd.net/LBC,Casey Rogers,38,2018,Aiken County Public School District,Langley-Bath-Clearwater Middle School,M,30.9,35.5,25.3,41.3,38.5,NA,32.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District","Langley-Bath-Clearwater
Middle School",0201008,M,29 Lions Trail,Warrenville,SC,29851,6-8,636,803-593-7260,https://www.acpsd.net/LBC,Casey Rogers,38,2019,Aiken County Public School District,Langley-Bath-Clearwater Middle School,M,34.7,32.4,30,31.7,51,NA,26.8,645,303,342,93,409,NA,0,487,143
"Aiken County
Public School
District","Leavelle Mccampbell
Middle School",0201009,M,1120 Weldon Way,Graniteville,SC,29829,6-8,604,803-663-4300,https://www.acpsd.net/LMMS,"Dr. Tiffany Turner
Hall",37,2018,Aiken County Public School District,Leavelle Mccampbell Middle School,M,29.7,34.3,27,40.4,45.2,NA,28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District","Leavelle Mccampbell
Middle School",0201009,M,1120 Weldon Way,Graniteville,SC,29829,6-8,604,803-663-4300,https://www.acpsd.net/LMMS,"Dr. Tiffany Turner
Hall",37,2019,Aiken County Public School District,Leavelle Mccampbell Middle School,M,29.9,33,26.5,36.4,43.2,NA,33.3,617,298,319,197,303,NA,0,423,117
"Aiken County
Public School
District","New Ellenton Middle Steam
Magnet School",0201010,M,"814 Main Street, South",New Ellenton,SC,29809,6-8,280,803-652-8200,www.acpsd.net/NEMS,Shunte Dugar,19,2018,Aiken County Public School District,New Ellenton Middle Steam Magnet School,M,47.9,21.2,35.8,23,63.6,NA,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District","New Ellenton Middle Steam
Magnet School",0201010,M,"814 Main Street, South",New Ellenton,SC,29809,6-8,280,803-652-8200,www.acpsd.net/NEMS,Shunte Dugar,19,2019,Aiken County Public School District,New Ellenton Middle Steam Magnet School,M,43.1,22.1,36.5,22.7,59.5,NA,17.4,196,112,84,75,85,NA,0,138,36
"Aiken County
Public School
District","North Augusta Middle
School",0201011,M,"725 Old Edgefield
Road",North Augusta,SC,29841,6-8,597,803-442-6200,https://www.acpsd.net/NAMS,Kimbra Meek,33,2018,Aiken County Public School District,North Augusta Middle School,M,43.1,22.3,37.9,34.6,60.4,NA,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District","North Augusta Middle
School",0201011,M,"725 Old Edgefield
Road",North Augusta,SC,29841,6-8,597,803-442-6200,https://www.acpsd.net/NAMS,Kimbra Meek,33,2019,Aiken County Public School District,North Augusta Middle School,M,47.5,21.1,37,32.8,63,NA,18.7,632,267,365,203,293,NA,0,335,136
"Aiken County
Public School
District",North Augusta High School,0201012,H,"2000 Knobcone
Avenue",North Augusta,SC,29841,9-12,1573,803-442-6100,https://www.acpsd.net/Domain/23,John Murphy,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District","Wagener-Salley High
School",0201015,H,"272 Main Street
(South)",Wagener,SC,29164,9-12,268,803-564-1100,https://www.acpsd.net/Domain/24,"Rasheem L.
Neloms Sr.",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District",Aiken Elementary School,0201016,E,2050 Pine Log Road,Aiken,SC,29803,PK-5,608,8036412740,http://www.acpsd.net/AES,Cindy Hewitt,48,2018,Aiken County Public School District,Aiken Elementary School,E,46.1,22.1,50.9,21.1,52.2,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District",Aiken Elementary School,0201016,E,2050 Pine Log Road,Aiken,SC,29803,PK-5,608,8036412740,http://www.acpsd.net/AES,Cindy Hewitt,48,2019,Aiken County Public School District,Aiken Elementary School,E,53.8,23.8,54.6,18.8,55.6,NA,21.8,732,332,400,359,302,NA,0,500,71
"Aiken County
Public School
District",Kennedy Middle School,0201017,M,"274 E. Pine Log
Road",Aiken,SC,29803,6-8,689,803-641-2470,www.acpsd.net/kms,Ryan Ashley,37,2018,Aiken County Public School District,Minnie B. Kennedy Middle School,M,47.6,22.5,42.7,25.6,59.5,NA,19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District",Kennedy Middle School,0201017,M,"274 E. Pine Log
Road",Aiken,SC,29803,6-8,689,803-641-2470,www.acpsd.net/kms,Ryan Ashley,37,2019,Aiken County Public School District,Kennedy Middle School,M,47.3,22.1,44,28.9,60.1,NA,18.2,849,427,422,266,470,NA,0,414,113
"Aiken County
Public School
District","Belvedere Elementary
School",0201019,E,201 Rhomboid Place,Belvedere,SC,29841,PK-5,603,803-442-6330,https://www.acpsd.net/Domain/27,Allyson Long,41,2018,Aiken County Public School District,Belvedere Elementary,E,45.8,19.1,53.8,16,60.4,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District","Belvedere Elementary
School",0201019,E,201 Rhomboid Place,Belvedere,SC,29841,PK-5,603,803-442-6330,https://www.acpsd.net/Domain/27,Allyson Long,41,2019,Aiken County Public School District,Belvedere Elementary,E,55.4,12.6,63.9,14.1,67.1,NA,12.2,596,302,294,161,345,NA,0,380,90
"Aiken County
Public School
District",Byrd Elementary,0201021,E,1225 Weldon Way,Graniteville,SC,29829,PK-5,575,8036634320,https://www.acpsd.net/BYES,Renae W. Enlow,36,2018,Aiken County Public School District,Byrd Elementary,E,35,30.4,33.3,34.3,51,NA,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District",Byrd Elementary,0201021,E,1225 Weldon Way,Graniteville,SC,29829,PK-5,575,8036634320,https://www.acpsd.net/BYES,Renae W. Enlow,36,2019,Aiken County Public School District,Byrd Elementary,E,44.9,27.7,40.4,23,57.3,NA,18.2,706,346,360,170,387,NA,0,448,149
"Aiken County
Public School
District",J.D. Lever Elementary,0201022,E,"2404 Columbia
Highway North",Aiken,SC,29805,PK-5,454,8036412760,https://www.acpsd.net/JDLES,Michael Truitt,37,2018,Aiken County Public School District,J.D. Lever Elementary School,E,30.7,40.2,34.3,41.8,33.8,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District",J.D. Lever Elementary,0201022,E,"2404 Columbia
Highway North",Aiken,SC,29805,PK-5,454,8036412760,https://www.acpsd.net/JDLES,Michael Truitt,37,2019,Aiken County Public School District,J.D. Lever Elementary School,E,42.3,32.6,49.3,24.7,59.8,NA,17.2,536,273,263,187,273,NA,0,441,76
"Aiken County
Public School
District",Clearwater Elementary,0201024,E,4522 Augusta Road,Beech Island,SC,29842,PK-5,374,803-593-7240,https://www.acpsd.net/CES,Eddie Watkins,32,2018,Aiken County Public School District,Clearwater Elementary School,E,28.6,35,24.8,43.7,22.1,NA,39.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District",Clearwater Elementary,0201024,E,4522 Augusta Road,Beech Island,SC,29842,PK-5,374,803-593-7240,https://www.acpsd.net/CES,Eddie Watkins,32,2019,Aiken County Public School District,Clearwater Elementary,E,44.4,28.3,50.8,25.7,48.4,NA,21.9,431,192,239,134,134,NA,0,362,163
"Aiken County
Public School
District","East Aiken School Of The
Arts",0201027,E,"223 Old Wagener
Road",Aiken,SC,29801,PK-5,548,803-641-2450,https://www.acpsd.net/Domain/31,Lisa A. Fallaw,43,2018,Aiken County Public School District,East Aiken School Of The Arts,E,37.6,27.2,46,27.2,56.3,NA,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District","East Aiken School Of The
Arts",0201027,E,"223 Old Wagener
Road",Aiken,SC,29801,PK-5,548,803-641-2450,https://www.acpsd.net/Domain/31,Lisa A. Fallaw,43,2019,Aiken County Public School District,East Aiken School Of The Arts,E,49.2,25,56.2,16.9,62.2,NA,15.6,591,294,297,277,244,NA,0,435,70
"Aiken County
Public School
District",Schofield Middle School,0201028,M,"224 Kershaw Street
NE",Aiken,SC,29801,7-8,507,803 641-2770,https://www.acpsd.net/SMS,Scott N. Floyd,32,2018,Aiken County Public School District,Schofield Middle School,M,29.5,35.4,29.5,34.9,41.7,NA,29.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District",Schofield Middle School,0201028,M,"224 Kershaw Street
NE",Aiken,SC,29801,7-8,507,803 641-2770,https://www.acpsd.net/SMS,Scott N. Floyd,32,2019,Aiken County Public School District,Schofield Middle School,M,34.8,33.8,30.2,41.6,45.6,NA,31.3,533,271,262,320,146,NA,0,386,67
"Aiken County
Public School
District","Gloverville Elementary
School",0201029,E,114 Gloria Rush Circle,Gloverville,SC,29828,PK-5,309,803-593-7280,https://www.acpsd.net/GLES,S. Roxanne Hyer,26,2018,Aiken County Public School District,Gloverville Elementary School,E,43.3,22.4,52.2,22.4,52.5,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District","Gloverville Elementary
School",0201029,E,114 Gloria Rush Circle,Gloverville,SC,29828,PK-5,309,803-593-7280,https://www.acpsd.net/GLES,S. Roxanne Hyer,26,2019,Aiken County Public School District,Gloverville Elementary School,E,44.4,24.5,46.4,23.8,74,NA,14,372,185,187,80,244,NA,0,291,48
"Aiken County
Public School
District",Greendale Elementary,0201030,E,"505 South Boundary
Ave.",New Ellenton,SC,29809,PK-5,378,803-652-8170,https://www.acpsd.net/Domain/33,Caroline Barker,30,2018,Aiken County Public School District,Greendale Elementary,E,36,29.1,32,34.3,36.8,NA,22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District",Greendale Elementary,0201030,E,"505 South Boundary
Ave.",New Ellenton,SC,29809,PK-5,378,803-652-8170,https://www.acpsd.net/Domain/33,Caroline Barker,30,2019,Aiken County Public School District,Greendale Elementary,E,34.8,34.8,25.3,40.5,53.6,NA,14.3,402,193,209,147,167,NA,0,328,88
"Aiken County
Public School
District",Hammond Hill Elementary,0201031,E,"901 West Woodlawn
Avenue",North Augusta,SC,29841,PK-5,655,803-442-6170,www.acpsd.net/hhes,Eric L. Jeffcoat,44,2018,Aiken County Public School District,Hammond Hill Elementary,E,58.7,13.3,64.7,13.6,56.7,NA,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District",Hammond Hill Elementary,0201031,E,"901 West Woodlawn
Avenue",North Augusta,SC,29841,PK-5,655,803-442-6170,www.acpsd.net/hhes,Eric L. Jeffcoat,44,2019,Aiken County Public School District,Hammond Hill Elementary,E,59.9,17.7,64.9,13.3,73,NA,11.9,735,331,404,128,468,NA,0,390,139
"Aiken County
Public School
District","Jackson Magnet Middle
School",0201033,M,18731 Atomic Road,"Jackson, SC",SC,29831,6-8,374,803-471-2237,https://www.acpsd.net/Domain/9,Perry F Smith Sr.,21,2018,Aiken County Public School District,Jackson Stem Middle School,M,36.4,29.6,28.3,34.3,43.5,NA,30.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District","Jackson Magnet Middle
School",0201033,M,18731 Atomic Road,"Jackson, SC",SC,29831,6-8,374,803-471-2237,https://www.acpsd.net/Domain/9,Perry F Smith Sr.,21,2019,Aiken County Public School District,Jackson Stem Magnet Middle School,M,41,29.9,34,38.6,49.1,NA,25.9,344,162,182,130,184,NA,0,236,30
"Aiken County
Public School
District",Millbrook Elementary,0201035,E,"255 East Pine Log
Road",Aiken,SC,29803,PK-5,614,803-641-2580,www.acpsd.net/MES,John Metts,39,2018,Aiken County Public School District,Millbrook Elementary,E,35.5,25,45.6,23.8,52.9,NA,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District",Millbrook Elementary,0201035,E,"255 East Pine Log
Road",Aiken,SC,29803,PK-5,614,803-641-2580,www.acpsd.net/MES,John Metts,39,2019,Aiken County Public School District,Millbrook Elementary,E,49.8,17.2,56.7,14.2,53.1,NA,14.1,552,249,303,203,265,NA,0,362,84
"Aiken County
Public School
District","North Aiken Elementary
School",0201038,E,100 Bears Rock Road,Aiken,SC,29801,PK-5,450,803-641-2690,www.acpsd.neet/NAIES,Elisa Sanders-Pee,35,2018,Aiken County Public School District,North Aiken Elementary School,E,19.6,43.6,33.5,36.3,22.4,NA,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District","North Aiken Elementary
School",0201038,E,100 Bears Rock Road,Aiken,SC,29801,PK-5,450,803-641-2690,www.acpsd.neet/NAIES,Elisa Sanders-Pee,35,2019,Aiken County Public School District,North Aiken Elementary School,E,19.4,46.5,34.7,32.9,33.3,NA,42.4,448,219,229,366,42,NA,0,408,40
"Aiken County
Public School
District","North Augusta Elementary
School",0201039,E,"400 East Spring Grove
Avenue",North Augusta,SC,29841,PK-5,644,803-442-6280,https://www.acpsd.net/NAUES,Patricia Wilson,46,2018,Aiken County Public School District,North Augusta Elementary School,E,51.7,16.9,57.4,20.5,49,NA,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District","North Augusta Elementary
School",0201039,E,"400 East Spring Grove
Avenue",North Augusta,SC,29841,PK-5,644,803-442-6280,https://www.acpsd.net/NAUES,Patricia Wilson,46,2019,Aiken County Public School District,North Augusta Elementary,E,55.9,14.8,60.6,14.8,61.1,NA,16.7,651,317,334,214,297,NA,0,399,140
"Aiken County
Public School
District","Cyril B. Busbee Elementary
School",0201051,E,20 A. L. Corbett Circle,Wagener,SC,29164,PK-5,451,803-564-1000,"https://www.acpsd.net/BUSBEE
",Sonya Colvin,28,2019,Aiken County Public School District,Cyril B. Busbee Elementary School,E,38.7,34,44.3,26.3,50,NA,21.9,464,233,231,210,215,NA,0,394,39
"Aiken County
Public School
District",Warrenville Elementary,0201052,E,569 Howlandville Road,Warrenville,SC,29851,PK-5,327,803-663-4270,https://www.acpsd.net/WES,Charlene Heard,29,2018,Aiken County Public School District,Warrenville Elementary,E,34,31.2,38.6,36.7,41,NA,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District",Warrenville Elementary,0201052,E,569 Howlandville Road,Warrenville,SC,29851,PK-5,327,803-663-4270,https://www.acpsd.net/WES,Charlene Heard,29,2019,Aiken County Public School District,Warrenville Elementary,E,43.3,28.4,45.8,27.9,56.1,NA,18.2,460,218,242,131,254,NA,0,349,75
"Aiken County
Public School
District","Oakwood-Windsor
Elementary",0201054,E,"3773 Charleston
Highway",Aiken,SC,29803,PK-5,402,803-641-2560,https://www.acpsd.net/OWES,Davina Truitt,30,2018,Aiken County Public School District,Oakwood Windsor Elementary,E,23.7,35.5,21.9,45.6,31.3,NA,28.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District","Oakwood-Windsor
Elementary",0201054,E,"3773 Charleston
Highway",Aiken,SC,29803,PK-5,402,803-641-2560,https://www.acpsd.net/OWES,Davina Truitt,30,2019,Aiken County Public School District,Oakwood Windsor Elementary,E,39.2,32.2,34.5,39.2,38.5,NA,34.6,393,187,206,75,189,NA,0,339,129
"Aiken County
Public School
District","Redcliffe Elementary
School",0201055,E,"22 Double Springs
Road",Aiken,SC,29803,PK-5,633,803-827-3350,"https://www.acpsd.net/Page/78#calendar42/20210624
/month","Terra van der
Linden",44,2018,Aiken County Public School District,Redcliffe Elementary School,E,37,27.4,44.9,24.1,48,NA,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District","Redcliffe Elementary
School",0201055,E,"22 Double Springs
Road",Aiken,SC,29803,PK-5,633,803-827-3350,"https://www.acpsd.net/Page/78#calendar42/20210624
/month","Terra van der
Linden",44,2019,Aiken County Public School District,Redcliffe Elementary,E,44.2,27.1,50.1,19.2,52.7,NA,24.5,756,375,381,315,364,NA,0,582,77
"Aiken County
Public School
District","Chukker Creek Elementary
School",0201056,E,"1830 Chukker Creek
Road",Aiken,SC,29803,PK-5,662,803-641-2474,www.acpsd.net/CCES,Sara-Beth Brown,48,2018,Aiken County Public School District,Chukker Creek Elementary,E,61.3,12.4,62.6,14.5,68,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District","Chukker Creek Elementary
School",0201056,E,"1830 Chukker Creek
Road",Aiken,SC,29803,PK-5,662,803-641-2474,www.acpsd.net/CCES,Sara-Beth Brown,48,2019,Aiken County Public School District,Chukker Creek Elementary,E,62.3,17.9,64.6,16.9,73.9,NA,11.9,777,381,396,205,488,NA,0,350,84
"Aiken County
Public School
District","Mossy Creek Elementary
School",0201058,E,"421 West Five Notch
Road",North Augusta,SC,29841,PK-5,598,803-442-6090,https://www.acpsd.net/MCES,"Jeffery A
Matthews",44,2018,Aiken County Public School District,Mossy Creek  Elementary School,E,44.7,23.4,49.5,25.1,58.7,NA,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District","Mossy Creek Elementary
School",0201058,E,"421 West Five Notch
Road",North Augusta,SC,29841,PK-5,598,803-442-6090,https://www.acpsd.net/MCES,"Jeffery A
Matthews",44,2019,Aiken County Public School District,Mossy Creek Elementary,E,46.3,23.5,50.5,24.4,51.9,NA,23.6,694,309,385,259,316,NA,0,507,119
"Aiken County
Public School
District","Ridge Spring-Monetta
Elementary School",0201059,E,1081 Trojan Rd.,"Monetta, SC",SC,29105,PK-5,342,803-685-2000,https://www.acpsd.net/Domain/43,Callie A. Herlong,29,2018,Aiken County Public School District,Ridge Spring-Monetta Elementary School,E,21.4,39.6,30.5,40.6,44.8,NA,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District","Ridge Spring-Monetta
Elementary School",0201059,E,1081 Trojan Rd.,"Monetta, SC",SC,29105,PK-5,342,803-685-2000,https://www.acpsd.net/Domain/43,Callie A. Herlong,29,2019,Aiken County Public School District,Ridge Spring-Monetta Elementary School,E,28.4,46,26.7,43.8,28.8,NA,39.4,381,193,188,130,157,NA,0,340,94
"Aiken County
Public School
District","Ridge Spring-Monetta High
School",0201060,H,1071 Trojan Rd.,Monetta,SC,29105,9-12,258,(803)685-2100,https://www.acpsd.net/Domain/17,"Dr. KaRon L.
Webb",20,2018,Aiken County Public School District,Ridge Spring-Monetta Middle/High School,M,16.6,46.4,9.9,59.1,18.1,NA,53.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District",Aiken Scholars Academy,0201061,H,"471 University
Parkway",Aiken,SC,29801,9-12,135,803-306-1400,https://www.acpsd.net/Domain/45,Martha Messick,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District","Ridge Spring-Monetta
Middle School",0201062,M,1071 Trojan Road,Monetta,SC,29105,6-8,196,803-685-2500,https://www.acpsd.net/Domain/6718,Sidney Johnson,16,2019,Aiken County Public School District,Ridge Spring-Monetta Middle School,M,23.4,42.4,14.7,54.3,34.7,NA,44.4,200,91,109,71,86,NA,0,164,43
